field_name,analysis_name,source_table,category,description,notes
Industry,industry,enriched.csv,Company classification,Industry grouping used for within-industry standardization and hierarchical/fixed industry effects.,
Work-life balance,work_life_balance,enriched.csv,Culture score,Culture dimension score for work-life balance.,Higher values indicate stronger/more favorable work-life balance signal.
Transparency,transparency,enriched.csv,Culture score,Culture dimension score for transparency.,Higher values indicate stronger/more favorable transparency signal.
Toxic culture (R),toxic_culture_r,enriched.csv,Culture score,Reverse-coded toxic-culture score.,Higher values mean less toxic / more favorable culture.
Supportive culture,supportive_culture,enriched.csv,Culture score,Culture dimension score for supportive culture.,Higher values indicate stronger supportiveness signal.
Strategy,strategy,enriched.csv,Culture score,Culture dimension score for strategy.,Higher values indicate more favorable strategy-related culture signal.
Leadership,leadership,enriched.csv,Culture score,Culture dimension score for leadership.,Higher values indicate more favorable leadership signal.
Innovation,innovation,enriched.csv,Culture score,Culture dimension score for innovation.,Higher values indicate stronger innovation signal.
Open to feedback,open_to_feedback,enriched.csv,Culture score,Culture dimension score for openness to feedback.,Higher values indicate stronger openness-to-feedback signal.
Agility,agility,enriched.csv,Culture score,Culture dimension score for agility.,Higher values indicate stronger agility signal.
Ticker,ticker,enriched.csv,Company identity,Stock ticker used as the company-level merge key.,
Listing status,listing_status,enriched.csv,Sample flag,Listing/public-company status.,Analyses generally keep rows where this starts with Public.
preperiod__prior_roa,preperiod_prior_roa,preperiod.csv,Pre-culture control,Return on assets measured before the culture/performance window.,Used as the matching baseline control for ROA models.
preperiod__prior_revenue_growth,preperiod_prior_revenue_growth,preperiod.csv,Pre-culture control,Revenue growth measured before the culture/performance window.,Used as the matching baseline control for revenue-growth models.
preperiod__prior_operating_margin,preperiod_prior_operating_margin,preperiod.csv,Pre-culture control,Operating margin measured before the culture/performance window.,Used as the matching baseline control for operating-margin models.
preperiod__prior_stock_return,preperiod_prior_stock_return,preperiod.csv,Pre-culture control,"Pre-culture stock return, used as baseline market-performance control.",Used as the matching baseline control for TSR/excess-TSR models.
preperiod__prior_stock_volatility,preperiod_prior_stock_volatility,preperiod.csv,Pre-culture control,Pre-culture stock-return volatility / risk measure.,
outcomes_longitudinal__forward_roa,outcomes_longitudinal_forward_roa,outcomes_longitudinal.csv,Forward outcome,Forward return on assets constructed from post-culture quarterly accounting data.,Preferred ROA outcome for v2 main models.
outcomes_longitudinal__forward_operating_margin,outcomes_longitudinal_forward_operating_margin,outcomes_longitudinal.csv,Forward outcome,Forward operating margin constructed from post-culture quarterly accounting data.,Preferred operating-margin outcome for v2 main models.
outcomes_longitudinal__forward_revenue_growth,outcomes_longitudinal_forward_revenue_growth,outcomes_longitudinal.csv,Forward outcome,Forward revenue growth based on the forward accounting period compared with the prior comparable period.,Preferred revenue-growth outcome for v2 main models.
