Industry,Work-life balance,Transparency,Toxic culture (R),Supportive culture,Strategy,Leadership,Innovation,Open to feedback,Agility,Ticker,Listing status,preperiod__prior_roa,preperiod__prior_revenue_growth,preperiod__prior_operating_margin,preperiod__prior_stock_return,preperiod__prior_stock_volatility,outcomes_longitudinal__forward_roa,outcomes_longitudinal__forward_operating_margin,outcomes_longitudinal__forward_revenue_growth,outcomes_longitudinal__secondary_no_washout_excess_tsr,outcomes_longitudinal__primary_three_month_washout_partial_excess_tsr,outcomes_longitudinal__sensitivity_six_month_washout_partial_excess_tsr,preculture_controls_longitudinal__publication_safe_roa_average,preculture_controls_longitudinal__publication_safe_roa_trend,preculture_controls_longitudinal__publication_safe_operating_margin_average,preculture_controls_longitudinal__publication_safe_operating_margin_trend,preculture_controls_longitudinal__publication_safe_revenue_growth_average,preculture_controls_longitudinal__publication_safe_assets_level,preculture_controls_longitudinal__publication_safe_leverage_level,preculture_controls_longitudinal__fiscal_period_revenue_growth_trend,preculture_controls_longitudinal__stock_2020_2022_avg_return,pre2023_headcount__publication_safe_log_headcount
Industrials,-0.066430491,-0.475452788,-0.208192446,-0.041766744,-1.979745633,-0.680374267,0.09244682,-0.621825476,-1.034820942,MMM,Public (direct listing),0.12435690453126681,-0.26004808372224575,0.07323879056610985,-0.29716130054882106,0.2747387762372638,0.0749349662900201,0.19777014066496162,0.012764528048370805,-0.1720234706445556,-0.2221641789012827,-0.14291906907069085,0.1139459595540455,0.011727516400088369,0.20768388125165216,0.008153903926977913,0.05001043523637516,47072000000.0,0.027426070700203944,-0.016671023415663795,-0.07438878242094764,10.819778284410283
Grocery Stores,-0.259798401,,0.025971506,-0.6990403,,0.215904289,,,,SVNDY,Subsidiary (proxy = parent listing),,,,,,,,,,,,,,,,,,,,,
Restaurants & Fast Food,0.610936578,,1.349883077,2.308311649,,1.878193433,,,,,Private / no public equity,,,,,,,,,,,,,,,,,,,,,
Consumer Products,-0.921735902,-0.144622154,-1.210834059,0.0827137,-0.401477903,-0.187719793,,-1.326305311,0.200843695,BUD,Public (direct listing),0.02803097542534857,0.06412050677666481,0.25032014674834735,-0.04385377028514792,0.30431906340871756,0.033736901480525223,0.2680818254892633,0.1202670971529205,-0.09273806251545591,-0.06412708089380481,0.2251279043446892,0.02145873444012002,,0.2615829404832057,,,217627000000.0,0.40817545617042,,-0.1073715107583314,3.912023005428146
Industrials,0.319941254,0.542802428,0.969496092,1.566900491,0.094106262,0.792155479,-0.237650218,0.67948563,-0.381309845,ABB,Public (direct listing),,,,,,,,,,,,,,,,,,,,,
Life Sciences & Biopharma,-0.899724724,0.043727505,-1.068616318,-1.007490178,0.621015897,-0.442805035,-0.408066206,0.049701975,0.062024776,ABT,Public (direct listing),0.09313791343131196,0.013418456181079508,0.19155613588985865,-0.18745622992561317,0.2675124676720268,0.0687174602131818,0.1707138742411486,0.07781424985518437,-0.4772348335044596,-0.595322340195019,-0.48676479212292734,0.07010135869891905,0.019861708534428448,0.1641436806913533,0.026768967669108395,0.16470433897624448,75196000000.0,0.010027129102611842,-0.035667903303665406,0.13059691270926996,11.635143097694478
Life Sciences & Biopharma,-0.059915596,-0.238398178,-0.354981094,-0.359020472,1.326781662,-0.097696226,-0.071840622,0.503595204,-0.876685816,ABBV,Public (direct listing),0.08527070350491697,0.03304446856593768,0.32407758294002137,0.24092163128684185,0.22531374770822762,0.02685119011344351,0.33181043951670675,0.12433485722850923,-0.15953680874994647,-0.05307814828388646,-0.22623018311660492,0.0659582524710439,-0.004839060641337836,0.3191021809385846,-0.03566447609048402,0.3019014606781045,146529000000.0,0.5184093251165298,-0.171928436071167,0.2829304833201666,10.819778284410283
Specialty Retail & Apparel,0.672486408,,0.56091717,0.634155774,,0.898789043,,,,ANF,Public (direct listing),0.08947467435688695,,0.09240652795973246,-0.3475990851066143,0.7118632986548206,0.14332666240681638,0.12993237300962632,0.015045871225204177,-0.0478378692845407,-0.3615503512133905,-0.24204486167781503,0.024353077080293162,0.012920076708216398,0.03516838850184695,0.014490017283200532,0.019918380160100318,2939491000.0,,0.08937894601947675,0.17888345238569348,10.357742824813725
Outsourcing & Staffing,-0.374363267,,-0.639342211,-1.07553922,,-1.081290126,,,,ABM,Public (direct listing),0.04732075006675019,0.25334746170889133,0.044667332769707684,0.06144223823707273,0.35610685269638415,0.029521326131495624,0.036872162511460416,0.08443434199933697,-0.4074368157983691,-0.3933542466479769,-0.28681933359979184,0.02759298200497419,0.006684882650006773,0.03145940983095205,0.005501963068710427,0.07165499686356358,4868900000.0,0.03727741378956233,0.16598989125824726,0.07817090492599643,11.751942365440728
Specialty Retail & Apparel,-0.114106338,,-0.106508532,0.159191257,,-0.043169556,,,,ASO,Public (direct listing),0.14643179627214314,,0.13405135706869853,0.26116442196730705,0.5669272514402842,0.07142547417042736,0.08424043649675643,0.0670367002143688,0.2765744396990819,-0.1078534919390981,-0.1232308182979096,0.08152296648951751,0.059358347518150265,0.0680120011951594,0.035803458733257416,0.12601782667082442,4584940000.0,0.0006543160870153154,0.09045022905508966,0.6215541385872017,9.998797732340453
